Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL,Count_Total_Asset,Count_Total_Liability,ActBal_Total_Asset,ActBal_Total_Liability,ActBal_Total,Debt_To_Balance,Inflow_Outflow_Ratio
0,51.0,7.0,1,-1,-1,1,-1,-1,1333.8028571428572,-1.0,-1.0,0.0,-1.0,-1.0,1678.9464285714287,1318.6982142857144,25.0,23.0,1891.3532142857143,1335.6196428571427,250.0,283.0892857142857,247.60714285714286,50.0,30.0,3.0,12.0,9.0,1.0,0.0,0.0,26.97267857142857,0.0,0.0,1.0,1.0,1333.8028571428572,0.0,1333.8028571428572,0.0,0.8876958650570201
1,43.0,152.0,1,1,-1,-1,-1,-1,110.76857142857143,13326.190357142857,-1.0,-1.0,-1.0,-1.0,708.1296428571429,704.9357142857143,4.0,3.0,386.4428571428571,386.4428571428571,307.14285714285717,38.40714285714286,35.714285714285715,6.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,13436.958928571428,0.0,13436.958928571428,0.0,1.832430404485227
0,24.0,19.0,1,-1,-1,-1,-1,1,4.297142857142857,-1.0,-1.0,-1.0,-1.0,1982.0710714285713,501.13142857142856,448.42928571428575,3.0,2.0,436.2857142857143,429.67857142857144,357.14285714285717,0.0,0.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.297142857142857,1982.0710714285713,-1977.7739285714283,-1.0021727174158979,1.1486313005761561
0,64.0,30.0,1,-1,-1,1,-1,-1,0.0,-1.0,-1.0,326.9692857142857,-1.0,-1.0,649.1992857142858,458.60857142857145,25.0,21.0,654.8242857142858,455.0371428571429,253.57142857142858,6.982142857142857,0.0,42.0,24.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,326.9692857142857,-326.9692857142857,-1.0000000030583913,0.9914099077964493
0,66.0,132.0,1,1,-1,-1,-1,1,353.83964285714285,5.8325000000000005,-1.0,-1.0,-1.0,3458.2957142857144,1201.107142857143,1095.6446428571428,6.0,3.0,1232.7964285714286,1158.367857142857,339.2857142857143,173.43214285714288,312.5357142857143,41.0,39.0,6.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,359.67214285714283,3458.2957142857144,-3098.6235714285717,-1.1160748105351164,0.9742947935651449
0,38.0,95.0,1,1,1,-1,1,1,23.344642857142855,403.65928571428566,13184.9225,-1.0,53.13214285714286,17062.324285714287,4358.740714285715,3567.309285714286,13.0,7.0,2385.7867857142855,1986.292857142857,625.0,399.49392857142857,383.5357142857143,46.0,21.0,5.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,13611.926428571429,17115.45642857143,-3503.5300000000007,-4.885203333054556,1.8269615451632997
1,26.0,174.0,1,-1,-1,-1,-1,-1,1.5453571428571429,-1.0,-1.0,-1.0,-1.0,-1.0,47.4375,47.4375,2.0,2.0,20.803571428571427,20.803571428571427,0.0,17.410714285714285,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.5453571428571429,0.0,1.5453571428571429,0.0,2.280257401120674
0,64.0,150.0,1,-1,-1,-1,-1,-1,338.77642857142854,-1.0,-1.0,-1.0,-1.0,-1.0,1309.474642857143,1309.474642857143,4.0,4.0,5000.515357142857,5000.515357142857,803.5714285714286,168.92607142857145,4023.7678571428573,33.0,33.0,5.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,338.77642857142854,0.0,338.77642857142854,0.0,0.2618679374166484
1,27.0,181.0,1,1,-1,-1,-1,-1,2194.472142857143,18302.0625,-1.0,-1.0,-1.0,-1.0,452.6175,451.55,4.0,3.0,221.42857142857142,221.42857142857142,107.14285714285714,10.714285714285714,103.57142857142857,7.0,7.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,3.8225000000000002,0.0,2.0,-1.0,20496.534642857143,0.0,20496.534642857143,0.0,2.04407902302674
0,24.0,60.0,1,1,-1,-1,-1,-1,434.7425,173499.86285714287,-1.0,-1.0,-1.0,-1.0,409.8507142857143,409.30035714285714,3.0,2.0,505.6535714285714,505.6535714285714,178.57142857142858,259.18928571428575,64.28571428571429,22.0,22.0,4.0,14.0,3.0,0.0,1.0,0.0,0.0,3.607142857142857,0.0,2.0,-1.0,173934.60535714286,0.0,173934.60535714286,0.0,0.810536574115888
