ActBal_Total_Asset,ActBal_Total_Liability,ActBal_Total,Age,Count_Total_Asset,Count_Total_Liability,Debt_To_Balance,Inflow_Outflow_Ratio,Tenure,TransactionsDeb_CA,TransactionsDeb,TransactionsDebCashless_Card,VolumeDebCashless_Card,Revenue_CC
1333.8028571428572,0.0,1333.8028571428572,51.0,1.0,1.0,0.0,0.8876958650570201,7.0,30.0,50.0,12.0,283.0892857142857,0.0
13436.958928571428,0.0,13436.958928571428,43.0,2.0,-1.0,0.0,1.832430404485227,152.0,6.0,6.0,2.0,38.40714285714286,0.0
4.297142857142857,1982.0710714285713,-1977.7739285714283,24.0,1.0,1.0,-1.0021727174158979,1.1486313005761561,19.0,6.0,8.0,0.0,0.0,0.0
0.0,326.9692857142857,-326.9692857142857,64.0,1.0,1.0,-1.0000000030583913,0.9914099077964493,30.0,24.0,42.0,1.0,6.982142857142857,0.0
359.67214285714283,3458.2957142857144,-3098.6235714285717,66.0,2.0,1.0,-1.1160748105351164,0.9742947935651449,132.0,39.0,41.0,17.0,173.43214285714288,0.0
13611.926428571429,17115.45642857143,-3503.5300000000007,38.0,3.0,2.0,-4.885203333054556,1.8269615451632997,95.0,21.0,46.0,25.0,399.49392857142857,0.0
1.5453571428571429,0.0,1.5453571428571429,26.0,1.0,-1.0,0.0,2.280257401120674,174.0,2.0,2.0,1.0,17.410714285714285,0.0
338.77642857142854,0.0,338.77642857142854,64.0,1.0,-1.0,0.0,0.2618679374166484,150.0,33.0,33.0,7.0,168.92607142857145,0.0
20496.534642857143,0.0,20496.534642857143,27.0,2.0,-1.0,0.0,2.04407902302674,181.0,7.0,7.0,1.0,10.714285714285714,3.8225000000000002
173934.60535714286,0.0,173934.60535714286,24.0,2.0,-1.0,0.0,0.810536574115888,60.0,22.0,22.0,14.0,259.18928571428575,3.607142857142857
2492.1467857142857,0.0,2492.1467857142857,54.0,1.0,-1.0,0.0,0.67559471134519,0.0,29.0,29.0,12.0,466.84000000000003,1.1071428571428572
62932.520000000004,0.0,62932.520000000004,27.0,2.0,1.0,0.0,1.0085435999221442,24.0,7.0,7.0,0.0,0.0,0.0
1649.98,0.0,1649.98,62.0,1.0,1.0,0.0,24.68637809317491,181.0,1.0,2.0,0.0,0.0,0.0
373.3542857142857,0.0,373.3542857142857,60.0,1.0,1.0,0.0,0.5178375077641556,150.0,4.0,8.0,0.0,0.0,4.286785714285714
2336.8507142857143,1293.1025,1043.7482142857143,59.0,1.0,2.0,1.2389027172094638,0.43485832167864336,97.0,41.0,46.0,22.0,1320.2964285714286,0.0
18635.575357142858,0.0,18635.575357142858,71.0,1.0,-1.0,0.0,1.1489822265063527,150.0,13.0,13.0,4.0,56.73571428571428,3.25
1531.8675,728.6689285714285,803.1985714285715,48.0,3.0,2.0,0.9072089438209616,2.233197717070272,104.0,19.0,54.0,33.0,844.5753571428571,0.0
14.863214285714287,0.0,14.863214285714287,66.0,1.0,1.0,0.0,5.6775170244199486e-05,31.0,21.0,21.0,9.0,290.49285714285713,0.0
5671.467857142858,0.0,5671.467857142858,49.0,3.0,-1.0,0.0,7155630357.142858,263.0,0.0,0.0,0.0,0.0,0.0
3869.186785714286,0.0,3869.186785714286,30.0,2.0,-1.0,0.0,1.3546958693545879,172.0,32.0,32.0,16.0,265.8803571428571,0.6428571428571429
14306.995357142858,0.0,14306.995357142858,27.0,2.0,-1.0,0.0,1.0315125499064388,12.0,26.0,26.0,12.0,219.42964285714285,0.0
871.7367857142857,0.0,871.7367857142857,27.0,1.0,-1.0,0.0,5.9405937300264866e-05,33.0,1.0,1.0,0.0,0.0,0.0
875.3714285714286,0.0,875.3714285714286,23.0,4.0,-1.0,0.0,1.176614397429426,4.0,9.0,9.0,1.0,68.53571428571429,0.0
26315.770357142854,0.0,26315.770357142854,65.0,1.0,1.0,0.0,0.9947384768280623,83.0,37.0,51.0,10.0,334.59785714285715,1.9642857142857142
186.8460714285714,0.0,186.8460714285714,35.0,1.0,-1.0,0.0,0.0005416584582266656,51.0,3.0,3.0,0.0,0.0,4.464285714285714
38757.89464285714,0.0,38757.89464285714,63.0,2.0,-1.0,0.0,1.7430521178372704,52.0,1.0,1.0,0.0,0.0,15.393928571428571
6023.434285714286,0.0,6023.434285714286,45.0,3.0,-1.0,0.0,0.5754390531804527,95.0,32.0,35.0,9.0,407.1660714285714,7.152500000000001
2159.2817857142854,0.0,2159.2817857142854,45.0,4.0,-1.0,0.0,0.014923588424169285,229.0,22.0,22.0,2.0,6.073928571428572,0.0
62140.076785714286,0.0,62140.076785714286,64.0,3.0,1.0,0.0,1.1699617973424088,92.0,8.0,8.0,0.0,0.0,0.8939285714285715
4.145357142857143,0.0,4.145357142857143,46.0,2.0,-1.0,0.0,3.721441782544639,19.0,3.0,3.0,0.0,0.0,15.24642857142857
169.5635714285714,0.0,169.5635714285714,33.0,1.0,-1.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0
960.5725,0.4642857142857143,960.1082142857143,43.0,1.0,1.0,0.00048357644158637846,1.3605264583567596,53.0,1.0,8.0,0.0,0.0,0.0
90865.86428571428,929.4707142857143,89936.39357142858,64.0,4.0,2.0,0.010334756346852875,0.8007671522709046,125.0,68.0,68.0,21.0,1104.9892857142856,0.0
3490.8085714285717,0.0,3490.8085714285717,54.0,2.0,-1.0,0.0,2.0415803754181874,105.0,10.0,10.0,7.0,164.46,0.0
3056.9528571428573,0.0,3056.9528571428573,45.0,3.0,-1.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0
3891.1160714285716,0.0,3891.1160714285716,20.0,1.0,-1.0,0.0,181.44208944766356,28.0,1.0,1.0,0.0,0.0,0.0
220.45892857142857,0.0,220.45892857142857,67.0,1.0,-1.0,0.0,1.005637792944231,180.0,19.0,19.0,9.0,18.571428571428573,0.0
4206.1728571428575,671.9992857142857,3534.173571428572,62.0,3.0,1.0,0.19014326035280413,0.17792203884696012,91.0,5.0,23.0,14.0,962.9582142857143,0.0
4714.448214285714,0.0,4714.448214285714,54.0,1.0,1.0,0.0,1.0724294714252922,20.0,31.0,33.0,3.0,34.339285714285715,3.5
1909.81,0.0,1909.81,41.0,1.0,-1.0,0.0,3.895833893921783,17.0,21.0,21.0,10.0,199.08214285714286,0.0
53.59607142857143,0.0,53.59607142857143,43.0,1.0,1.0,0.0,0.9002665215342972,15.0,6.0,6.0,0.0,0.0,0.0
1377.3742857142859,0.0,1377.3742857142859,47.0,1.0,-1.0,0.0,0.3416238563177064,129.0,13.0,13.0,0.0,0.0,0.0
53771.801785714284,0.0,53771.801785714284,87.0,3.0,1.0,0.0,1.21838322912888,163.0,3.0,4.0,0.0,0.0,1.7857142857142858
13688.566785714283,0.0,13688.566785714283,59.0,5.0,-1.0,0.0,0.9851131581738496,57.0,13.0,13.0,6.0,188.67857142857142,0.0
178.30857142857144,4334.251428571429,-4155.942857142857,66.0,1.0,3.0,-1.042904481269519,0.49922770937640787,178.0,9.0,16.0,1.0,39.42857142857143,0.0
3684.7542857142857,0.0,3684.7542857142857,24.0,1.0,-1.0,0.0,1.584911270987449,142.0,64.0,64.0,47.0,1592.8235714285713,0.0
6013.48,0.0,6013.48,41.0,4.0,-1.0,0.0,50348571.428571425,75.0,0.0,0.0,0.0,0.0,0.0
5860.190714285714,0.0,5860.190714285714,86.0,1.0,-1.0,0.0,0.02157894100831212,19.0,1.0,1.0,0.0,0.0,0.0
45937.69821428571,0.0,45937.69821428571,20.0,2.0,-1.0,0.0,1.1304014659336836,151.0,16.0,16.0,0.0,0.0,0.0
90815.73714285715,0.0,90815.73714285715,43.0,6.0,-1.0,0.0,2.5314947523196043,111.0,4.0,4.0,0.0,0.0,5.25
364.4975,0.0,364.4975,25.0,1.0,1.0,0.0,1.6340659204770283,60.0,6.0,6.0,1.0,8.892857142857142,0.0
34.32214285714286,0.0,34.32214285714286,36.0,1.0,-1.0,0.0,8.576615394926252,31.0,15.0,15.0,0.0,0.0,0.0
1862.0175000000002,0.0,1862.0175000000002,45.0,4.0,-1.0,0.0,0.00010526312686981523,58.0,1.0,1.0,0.0,0.0,0.0
7153.650000000001,0.0,7153.650000000001,21.0,1.0,-1.0,0.0,1.1590693645097208,33.0,12.0,12.0,6.0,62.385714285714286,0.0
649.5714285714286,0.0,649.5714285714286,20.0,1.0,-1.0,0.0,1.3570407391336952,81.0,4.0,4.0,1.0,3.382142857142857,0.0
2728.945714285714,0.0,2728.945714285714,59.0,1.0,-1.0,0.0,0.9723006585734316,149.0,36.0,36.0,15.0,828.6692857142858,0.0
3664.6892857142857,24.49285714285714,3640.1964285714284,31.0,3.0,2.0,0.006728443812506228,1.0227256587089109,8.0,16.0,36.0,0.0,0.0,3.392857142857143
3662.217857142857,2812.0667857142857,850.1510714285714,35.0,1.0,2.0,3.3077259759035966,0.7901903370440229,151.0,17.0,26.0,0.0,0.0,0.0
16385.65535714286,0.0,16385.65535714286,30.0,3.0,-1.0,0.0,3.975508054590865,151.0,3.0,3.0,0.0,0.0,6.107142857142857
